REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
1-05A	354670	354670	395341	presto_correct	0.9	0.75	0.897124254757286
1-05B	344351	344351	381863	presto_correct	0.9	0.75	0.901765816536297
1-06A	402320	402320	436432	presto_correct	0.9	0.75	0.921838911903802
1-06B	367914	367914	405393	presto_correct	0.9	0.75	0.907548970998513
1-07A	354944	354944	385238	presto_correct	0.9	0.75	0.921362897741137
1-07B	840843	840843	922751	presto_correct	0.9	0.75	0.911234991888386
1-08A	185403	185403	203241	presto_correct	0.9	0.75	0.91223227596794
1-08B	704130	704130	800459	presto_correct	0.9	0.75	0.87965779633935
1-09A	310042	310042	333424	presto_correct	0.9	0.75	0.92987307452373
1-09B	487231	487231	538389	presto_correct	0.9	0.75	0.904979485093492
1-10A	249126	249126	274512	presto_correct	0.9	0.75	0.907523168386081
1-10B	251721	251721	277012	presto_correct	0.9	0.75	0.908700706106595
2-01A	277204	277204	298330	presto_correct	0.9	0.75	0.92918580095867
2-01B	565960	565960	647718	presto_correct	0.9	0.75	0.873775315801012
2-02A	310900	310900	328768	presto_correct	0.9	0.75	0.945651644928947
2-02B	298922	298922	327621	presto_correct	0.9	0.75	0.912401830163512
2-03A	278513	278513	311940	presto_correct	0.9	0.75	0.892841572097198
2-03B	400095	400095	445649	presto_correct	0.9	0.75	0.897780540290677
2-04A	281175	281175	304485	presto_correct	0.9	0.75	0.923444504655402
