GROUP	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
YI_16	2.5	NA	1.1686277566539742	38.56010503366269	40.85057334803832	36.26963671928706	0.26173497392610007	0.24618792953868698	0.2772820183135131	gamma
YI_16	2.5500000000000003	NA	1.1671300216930667	38.14427667388523	40.43180948167909	35.85674386609137	0.25891244984819434	0.24338533084059985	0.27443956885578885	gamma
YI_16	2.6	NA	1.1656995476436882	37.74353591011604	40.0282650402923	35.45880677993978	0.25619233606051955	0.24068424761540663	0.2717004245056324	gamma
YI_16	2.6500000000000004	NA	1.1643360629674497	37.35712746876039	39.63918421807775	35.075070719443026	0.2535695059817437	0.23807955689423405	0.2690594550692534	gamma
YI_16	2.7	NA	1.1630394390895573	36.98434288687735	39.26385830009255	34.70482747366215	0.25103915076787614	0.2355664515436087	0.2665118499921436	gamma
YI_16	2.75	NA	1.16180964265709	36.62451703799349	38.90162209449274	34.34741198149425	0.2485967557304836	0.23314041731881385	0.26405309414215333	gamma
YI_16	2.8000000000000003	NA	1.1606466968842433	36.277024964181784	38.55185068885028	34.00219923951329	0.24623807883374707	0.23079721187519628	0.2616789457922979	gamma
YI_16	2.85	NA	1.1595506504470807	35.94127898271991	38.213956495846176	33.66860146959364	0.24395913105528533	0.22853284554280429	0.25938541656776637	gamma
YI_16	2.9000000000000004	NA	1.1585215526512844	35.61672603936211	37.887386557872055	33.34606552085217	0.24175615842092052	0.22634356369151315	0.2571687531503279	gamma
YI_16	2.95	NA	1.1575594338108226	35.30284528350921	37.57162008374299	33.03407048327542	0.23962562554562505	0.22422583053300812	0.25502542055824196	gamma
YI_16	3	NA	1.1566642899525854	34.99914584340241	37.26616619391307	32.73212549289175	0.23756420053217317	0.22217631422292042	0.25295208684142595	gamma
YI_16	3.0500000000000003	NA	1.1558360711083466	34.70516478195019	36.97056185335482	32.43976771054555	0.23556874109587775	0.220191873141324	0.25094560905043156	gamma
YI_16	3.1	NA	1.1550746725770187	34.420465215969564	36.68436997367492	32.15656045826421	0.2336362817985377	0.21826954324292694	0.24900302035414845	gamma
