INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	2-03orig	2.75	1	6.4982774747141825	67.84291626259512	80.57930607458282	55.10652645060744	0.049504585955133386	0.04021091553322586	0.05879825637704092	solo
2-03	2-03orig	2.8000000000000003	1	6.274553593405036	65.56116490290653	77.85906396504677	53.26326584076628	0.04783960510618623	0.0388658988634766	0.05681331134889585	solo
2-03	2-03orig	2.85	1	6.067630370914076	63.45285981567569	75.34519681416869	51.560522817182694	0.04630118700507626	0.03762341706855747	0.05497895694159505	solo
2-03	2-03orig	2.9000000000000004	1	5.875861253490638	61.500325045028816	73.01680148002484	49.983848610032794	0.044876433608424776	0.03647292696419668	0.05327994025265287	solo
2-03	2-03orig	2.95	1	5.697781640879672	59.68804210642059	70.85548891431827	48.520595298522906	0.04355402116727773	0.03540519943530634	0.051702842899249125	solo
2-03	2-03orig	3	1	5.5320885070416255	58.00235505634805	68.8450492894376	47.15966082325851	0.04232398501817162	0.03441213337297411	0.05023583666336913	solo
2-03	2-03orig	3.0500000000000003	1	5.377621954515979	56.431218554319244	66.97116390764245	45.89127320099604	0.04117753574540037	0.03348659821720812	0.04886847327359262	solo
2-03	2-03orig	3.1	1	5.233348669714287	54.963982553642225	65.22115746482282	44.70680764246163	0.040106902071122004	0.03262230050886077	0.04759150363338324	solo
2-03	2-03orig	3.1500000000000004	1	5.0983471819555986	53.59120814375828	63.58378500107253	43.59863128644403	0.0391051964765679	0.03181367059298898	0.04639672236014682	solo
2-03	2-03orig	3.2	1	4.971794793857849	52.304509859638586	62.04904859412371	42.55997112515346	0.03816630013611614	0.031055766244747818	0.045276834027484454	solo
2-03	2-03orig	3.25	1	4.852956034859185	51.0964204700644	60.60803951694471	41.584801423184096	0.03728476425407692	0.030344190519654753	0.04422533798849908	solo
2-03	2-03orig	3.3000000000000003	1	4.74117248624847	49.96027486021189	59.252802177751114	40.667747542672664	0.036455725334482283	0.029675021575360755	0.043236429093603805	solo
2-03	2-03orig	3.35	1	4.635853830377733	48.890110142295946	57.976216687428355	39.804003597163536	0.03567483229239721	0.0290447525841491	0.04230491200064531	solo
2-03	2-03orig	3.4000000000000004	1	4.536469985488339	47.88057957011205	56.77189735861613	38.989261781607965	0.034938183637855696	0.028450240165442096	0.0414261271102693	solo
2-03	2-03orig	3.45	1	4.442544198661366	46.92687820851689	55.63410483762052	38.21965157941326	0.03424227323730817	0.027888660025534383	0.04059588644908195	solo
2-03	2-03orig	3.5	1	4.353646981404782	46.02467862621889	54.55766991117379	37.491687341264	0.03358394338902036	0.02735746870616015	0.03981041807188057	solo
2-03	2-03orig	3.5500000000000003	1	4.269390784433735	45.170075147995625	53.53792732141295	36.8022229745783	0.03296034414423693	0.026854370521649885	0.03906631776682398	solo
2-03	2-03orig	3.6	1	4.189425319753379	44.3595354280191	52.57065817065592	36.14841268538228	0.03236889797051532	0.02637728891250184	0.0383605070285288	solo
2-03	2-03orig	3.6500000000000004	1	4.113433448917586	43.589858295831355	51.652039708512206	35.527676883150505	0.03180726899217648	0.02592434156634016	0.0376901964180128	solo
2-03	2-03orig	3.7	1	4.041127566167669	42.85813698627547	50.7786014728961	34.93767249965484	0.031273336159396946	0.02549381875974951	0.03705285355904438	solo
2-03	2-03orig	3.75	1	3.9722464140062064	42.16172699913105	49.94718690830159	34.37626708996051	0.030765169795569626	0.02508416445992082	0.03644617513121843	solo
2-03	2-03orig	3.8000000000000003	1	3.906552276647856	41.49821794739437	49.15491971334713	33.84151618144162	0.030281011055155675	0.024693959796358113	0.03586806231395324	solo
2-03	2-03orig	3.85	1	3.8438285037626625	40.86540884850925	48.39917427863255	33.331643418385944	0.029819253893837695	0.024321908572510775	0.03531659921516462	solo
2-03	2-03orig	3.9000000000000004	1	3.7838773230579905	40.261286393277	47.67754966838849	32.84502311816551	0.029378429211468313	0.023966824537111527	0.0347900338858251	solo
2-03	2-03orig	3.95	1	3.726517905611774	39.68400579507308	46.98784667781578	32.38016491233037	0.02895719087785362	0.023627620176870864	0.034286761578836374	solo
2-03	2-03orig	4	1	3.6715846525522102	39.13187387939407	46.32804756458641	31.935700194201733	0.02855430339329285	0.023303296827363634	0.03380530995922207	solo
2-04	2-04bio	0	1	19.874439474415652	1496.0515	1535.004685582776	1457.0983144172242	1	0.973962670681607	1.026037329318393	solo
2-04	2-04bio	0.05	1	20.11356319078939	1476.4796375130945	1515.9014969678124	1437.0577780583767	0.986917654581473	0.9605670513738175	1.0132682577891285	solo
2-04	2-04bio	0.1	1	20.366259997374357	1456.1001532745113	1496.0172893691438	1416.1830171798788	0.9732954736347721	0.9466138145510892	0.999977132718455	solo
2-04	2-04bio	0.15000000000000002	1	20.634577797478215	1434.8514858026906	1475.2945151219378	1394.4084564834434	0.9590923078535001	0.9320591279668136	0.9861254877401866	solo
2-04	2-04bio	0.2	1	20.920891286735415	1412.6663165742825	1453.6705100207619	1371.6621231278032	0.9442631597737662	0.9168548830891203	0.9716714364584119	solo
2-04	2-04bio	0.25	1	21.227941031390717	1389.4712881587977	1431.0772880462637	1347.8652882713318	0.9287589953680055	0.9009484554985786	0.9565695352374324	solo
2-04	2-04bio	0.30000000000000004	1	21.55886847438278	1365.186841091277	1407.4414468485033	1322.9322353340508	0.9125266350063999	0.8842825499884535	0.9407707200243463	solo
2-04	2-04bio	0.35000000000000003	1	21.91724064869784	1339.7272332567834	1382.6842355687284	1296.7702309448384	0.8955087664139794	0.8667951811450598	0.9242223516828988	solo
2-04	2-04bio	0.4	1	22.307055102553406	1313.000826016191	1356.721850618346	1269.279801414036	0.8776441359245928	0.8484198581492923	0.9068684136998933	solo
2-04	2-04bio	0.45	1	22.732711189821444	1284.910745870836	1329.4660410738368	1240.3554506678354	0.8588679907548878	0.8290860646627709	0.8886499168470048	solo
2-04	2-04bio	0.5	1	23.19892842540062	1255.3560587476952	1300.825122941403	1209.8869945539875	0.8391128639272747	0.8087201507127177	0.8695055771418316	solo
2-04	2-04bio	0.55	1	23.710586301397058	1224.233624588111	1270.7055197911782	1177.761729385044	0.8183098139255975	0.7872467822030484	0.8493728456481465	solo
2-04	2-04bio	0.6000000000000001	1	24.272453557067006	1191.440829801024	1239.0139645892964	1143.8676950127515	0.7963902511384293	0.7645911220387477	0.8281893802381111	solo
2-04	2-04bio	0.65	1	24.888769921083583	1156.8794187607434	1205.660511425571	1108.0983260959158	0.7732884989325189	0.7406819391551132	0.8058950587099247	solo
2-04	2-04bio	0.7000000000000001	1	25.56264238217474	1120.4606538372052	1170.562512255945	1070.3587954184654	0.7489452427521414	0.7154558485576635	0.7824346369466191	solo
2-04	2-04bio	0.75	1	26.2952248885499	1082.1120128735163	1133.6497066204554	1030.5743191265772	0.723312006888477	0.6888628627601237	0.7577611510168302	solo
2-04	2-04bio	0.8	1	27.08466985881564	1041.7855649453547	1094.870542401791	988.7005874889186	0.6963567530565323	0.6608733639777231	0.7318401421353415	solo
2-04	2-04bio	0.8500000000000001	1	27.924877089935034	999.4680267147477	1054.199780083728	944.7362733457674	0.6680706023253529	0.6314864651021488	0.704654739548557	solo
2-04	2-04bio	0.9	1	28.804124225265433	955.1922688135384	1011.6473149012763	898.7372227258004	0.6384755262860525	0.60073949508141955	0.6762115574906855	solo
2-04	2-04bio	0.9500000000000001	1	29.70374236850837	909.049697123129	967.2679623714619	850.8314318747962	0.6076326230234247	0.5687180099580771	0.6465472360887723	solo
2-04	2-04bio	1	1	30.5953337352847	861.2997281963594	921.2654804125008	801.333975980218	0.5757152933547804	0.5356326142383588	0.6157979724712022	solo
2-04	2-04bio	1.05	1	31.449180827336622	811.8940696879046	873.5333314527719	750.2548079230372	0.5426912574118635	0.5014899606885439	0.5838925541351832	solo
2-04	2-04bio	1.1	1	32.217299677403616	761.4559743619415	824.6007214087864	698.3112273150965	0.5089771136634945	0.46676951115325677	0.5511847161737322	solo
2-04	2-04bio	1.1500000000000001	1	32.85302528944302	710.3084378085166	774.6991841590085	645.9176914580247	0.47478876082041066	0.4317482997463822	0.5178292218944391	solo
2-04	2-04bio	1.2000000000000002	1	33.30574716688502	658.9528004974087	724.2308654227003	593.6747355721171	0.4404613079813153	0.39682773993550163	0.4840948760271289	solo
2-04	2-04bio	1.25	1	33.52757717479073	607.9540441401748	673.6668878916518	542.2412003886978	0.4063724037175022	0.36244821811862615	0.4502965893163783	solo
2-04	2-04bio	1.3	1	33.47907646640194	557.9134550360404	623.5312391458507	492.2956709262302	0.3729239635373785	0.3290633182923383	0.4167846087824187	solo
2-04	2-04bio	1.35	1	33.134835425173186	509.43332005758714	574.3764041245885	444.4902359905858	0.34051857175878447	0.2971089136908628	0.38392822982670616	solo
2-04	2-04bio	1.4000000000000001	1	32.487725226767985	463.07763869584096	526.7524100799395	399.40286731174234	0.30953322041108944	0.26697133575397797	0.35209510506820085	solo
2-04	2-04bio	1.4500000000000002	1	31.550759029005153	419.33432281580997	481.172674197562	357.49597143405794	0.28029404256191043	0.2389596691250655	0.3216284159987554	solo
2-04	2-04bio	1.5	1	30.355994008936783	378.5846289171282	438.08128388955794	319.0879739446985	0.25305588003964313	0.2132867578052617	0.2928250022740246	solo
2-04	2-04bio	1.55	1	28.95063809048235	341.0843551861054	397.8265631729043	284.34214719930657	0.2279897150506553	0.1900617373127239	0.2659176927885867	solo
2-04	2-04bio	1.6	1	27.391230305326367	306.9589300150813	360.644754905763	253.27310512439956	0.2051793872170051	0.16929437597863414	0.24106439845537606	solo
