AGE_WEEKS	INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
16	1009	3.4000000000000004	1	0.19441221154477697	3.480172645619603	3.861213578402148	3.099131712837058	0.03767827430826015	0.03355291437643988	0.04180363424008042	solo
16	1009	3.45	1	0.1931277579703878	3.4604745693203403	3.838998019357269	3.0819511192834117	0.03746501203718207	0.03336690776624835	0.04156311630811579	solo
16	1009	3.5	1	0.1918858119588652	3.441490158611094	3.817579439194695	3.065400878027493	0.03725947630458444	0.03318772569874567	0.041331226910423215	solo
16	1009	3.5500000000000003	1	0.1906839569619551	3.42318170184393	3.7969153899189476	3.0494480137689126	0.03706125882330448	0.03301501116508775	0.041107506481521214	solo
16	1009	3.6	1	0.18951996543132024	3.4055141171557732	3.776966423752437	3.0340618105591095	0.0368699797776851	0.03284843161742328	0.04089152793794693	solo
16	1009	3.6500000000000004	1	0.18839178085728345	3.3884547251596224	3.7576958306232604	3.0192136196959845	0.03668528536260424	0.03268767688905473	0.04068289383615376	solo
16	1009	3.7	1	0.18729750179273663	3.371973044964752	3.739069402872842	3.004876687056662	0.03650684557507675	0.032532457325047365	0.04048123382510615	solo
16	1009	3.75	1	0.18623536761255782	3.356040610770112	3.7210552239383023	2.9910259976019216	0.036334352228593055	0.03238250209874814	0.040286202358437974	solo
16	1009	3.8000000000000003	1	0.1852037457938591	3.340630806640771	3.7036234781986463	2.9776381350828958	0.036167517164317535	0.03223755769289286	0.0400974766357422	solo
16	1009	3.85	1	0.18420112053203505	3.3257187173895306	3.6867462795442405	2.9646911552348207	0.03600607063665038	0.032097386526731525	0.039914754746569234	solo
16	1009	3.9000000000000004	1	0.18322608253272518	3.31128099375306	3.6703975165455645	2.9521644709605552	0.035849759853549865	0.03196176571296161	0.03973775399413812	solo
16	1009	3.95	1	0.18227731984122397	3.2972957302812977	3.654552712368585	2.9400387481940107	0.035698347654495435	0.03183048593028794	0.03956620937870292	solo
16	1009	4	1	0.18135360958913416	3.283742354556071	3.6391888978171116	2.92829581129503	0.035551611311107185	0.031703350399175344	0.039399872223039034	solo
16	1015	0	1	8.890243414214373	154.6345	172.0590569056546	137.20994309434542	1	0.8873177919180093	1.1126822080819907	solo
16	1015	0.05	1	8.644648692486461	146.60286884102655	163.54606893730127	129.65966874475183	0.9480605482025457	0.838491208266925	1.0576298881381663	solo
16	1015	0.1	1	8.381058810257391	138.57037848635272	154.9969519067693	122.14380506593612	0.8961155401049101	0.7898871536813332	1.0023439265284868	solo
16	1015	0.15000000000000002	1	8.099669943186921	130.5668503036905	146.44191167899845	114.69178892838255	0.8443578263821495	0.741695992345709	0.94701966041859	solo
16	1015	0.2	1	7.801012982524669	122.62553340669989	137.91523789537763	107.33582891802214	0.793002424469959	0.6941260127463286	0.8918788361935895	solo
16	1015	0.25	1	7.48601113668783	114.78282156360349	129.45513377937738	100.11050934782959	0.7422846878516987	0.6474008668688397	0.8371685088345574	solo
16	1015	0.30000000000000004	1	7.156031359769634	107.0777437088598	121.10330744624747	93.05217997147213	0.6924570112676007	0.6017556235605387	0.7831583989746627	solo
16	1015	0.35000000000000003	1	6.81292276013752	99.55119868700231	112.90428192632507	86.19811544767956	0.6437838819086447	0.5574313329022925	0.7301364309149968	solo
16	1015	0.4	1	6.459033979208674	92.24492298956467	104.9043969637341	79.58544901539524	0.5965352039135166	0.5146681304326993	0.6784022773943337	solo
16	1015	0.45	1	6.09720122189055	85.20020754215743	97.15050234355651	73.24991274075835	0.5509780000074849	0.47369709049894004	0.6282589095160298	solo
16	1015	0.5	1	5.730699684261733	78.45641473610124	89.6883797234693	67.22444974873318	0.5073668213503535	0.4347312517499858	0.5800023909507211	solo
16	1015	0.55	1	5.363153976705368	72.04938584624934	82.56097448413462	61.537797208364054	0.4659334485270062	0.3979564534975316	0.5339104435564808	solo
16	1015	0.6000000000000001	1	4.99840788264944	66.00986481995922	75.80656424999323	56.21316538992521	0.42687669840791814	0.3635227933606356	0.4902306034552007	solo
16	1015	0.65	1	4.640359996147058	60.36208823365035	69.457026701399	51.26714976590169	0.39035330559254466	0.3315375919726949	0.4491690192123944	solo
16	1015	0.7000000000000001	1	4.292778384230036	55.12269418548267	63.536385212185586	46.70900315877976	0.35647086636864783	0.3020606860615177	0.41088104667577796	solo
16	1015	0.75	1	3.9591128537533646	50.3000793945554	58.059797998641585	42.54036079046921	0.32528368116141865	0.27510265038183074	0.3754647119410066	solo
16	1015	0.8	1	3.642326003604495	45.89428427884047	53.03311206585899	38.75545649182196	0.2967920113483115	0.2506261959124384	0.34295782678418457	solo
16	1015	0.8500000000000001	1	3.3447628588672718	41.89741818217795	48.45303292238503	35.341803441970875	0.2709448291434185	0.22855057210370824	0.3133390861831288	solo
16	1015	0.9	1	3.068073422661371	38.29456514125907	44.30787855159989	32.28125173091825	0.2476456750677182	0.20875840598907908	0.2865329441463573	solo
16	1015	0.9500000000000001	1	2.8131941078814973	35.065050527708095	40.578809660676114	29.551291394740076	0.2267608491488516	0.19110412873414456	0.26241756956355866	solo
16	1015	1	1	2.580828540604336	32.189345964807266	37.24767695466483	27.1310149749497	0.20816406406595725	0.17545253468630673	0.24087559344560774	solo
16	1015	1.05	1	2.369310663717797	29.623422425316242	34.26718599438981	24.97965885624267	0.19157059016788777	0.16154001116337344	0.2216011691724021	solo
16	1015	1.1	1	2.1791527621406908	27.35449851296367	31.625559443570403	23.083437582356936	0.17689777192646963	0.14927740951958932	0.20451813433334995	solo
16	1015	1.1500000000000001	1	2.0087313216515605	25.347938036127925	29.284979081182527	21.410896991073322	0.16392162186399492	0.1384613200228495	0.18938192370514037	solo
16	1015	1.2000000000000002	1	1.856626578652231	23.575386108965837	27.21430733586403	19.936464882067643	0.15245877284154466	0.1289263707779806	0.1759911749051087	solo
16	1015	1.25	1	1.721286883691462	22.010042723739055	25.383703022835505	18.636382424642605	0.14233591290261263	0.12051891670127045	0.16415290910395483	solo
16	1015	1.3	1	1.6011178550920853	20.627120249612265	23.765253580596774	17.488986918627756	0.13339274385478186	0.11309886809623826	0.15368661961332544	solo
16	1015	1.35	1	1.4945505042773606	19.404089060687824	22.333354222147626	16.47482389922802	0.12548356971237223	0.10654041562024012	0.14442672380450433	solo
16	1015	1.4000000000000001	1	1.4000892104101779	18.32075657158128	21.064880999128352	15.576632144034212	0.11847780780861503	0.10073193332687215	0.13622368229035792	solo
16	1015	1.4500000000000002	1	1.3163422173286803	17.359225013224773	19.939208350518584	14.779241675930963	0.11225971573759266	0.09557531906483328	0.12894411241035206	solo
