id	p	v	d	j
2-03	0.0007057160636999999	IGHV2-03*01	NA	IGHJ2-05*02
2-03	0.004826370911	IGHV1-05*01	NA	IGHJ2-05*02
2-03	0.00035269046641	IGHV5-01*01	NA	IGHJ2-05*02
2-03	0.0	IGHV2-04*01	NA	IGHJ2-05*02
2-03	0.0	IGHV6-01*01	NA	IGHJ2-05*02
2-03	0.00070571484984	IGHV1-06*01	NA	IGHJ2-05*02
2-03	0.0	IGHV4-02*01	NA	IGHJ2-05*02
2-03	0.0112914630032	IGHV2-05*01	NA	IGHJ2-05*02
2-03	0.0042342827476	IGHV1-07*01	NA	IGHJ2-05*02
2-03	0.0	IGHV2-02*02	NA	IGHJ2-05*02
2-03	0.00789007634	IGHV4-01*02	NA	IGHJ2-05*02
2-03	0.0028228625750800003	IGHV5-01*02	NA	IGHJ2-05*02
2-03	0.00070571484984	IGHV1-03*02	NA	IGHJ2-05*02
2-03	0.0034013866632000003	IGHV1-02*02	NA	IGHJ2-05*02
2-03	0.0	IGHV2-01*02	NA	IGHJ2-05*02
2-03	0.00070571484984	IGHV1-01*02	NA	IGHJ2-05*02
2-03	0.0	IGHV1-01*01	NA	IGHJ2-03*02
2-03	0.0	IGHV1-02*01	NA	IGHJ2-03*02
2-03	0.0	IGHV2-01*01	NA	IGHJ2-03*02
2-03	0.0	IGHV1-03*01	NA	IGHJ2-03*02
2-03	0.0	IGHV3-01*01	NA	IGHJ2-03*02
2-03	0.0	IGHV2-02*01	NA	IGHJ2-03*02
2-03	0.0	IGHV4-01*01	NA	IGHJ2-03*02
2-03	0.0	IGHV1-04*01	NA	IGHJ2-03*02
2-03	0.0	IGHV2-03*01	NA	IGHJ2-03*02
2-03	0.0	IGHV1-05*01	NA	IGHJ2-03*02
2-03	0.0	IGHV5-01*01	NA	IGHJ2-03*02
2-03	0.0	IGHV2-04*01	NA	IGHJ2-03*02
2-03	0.0	IGHV6-01*01	NA	IGHJ2-03*02
2-03	0.0	IGHV1-06*01	NA	IGHJ2-03*02
2-03	0.0	IGHV4-02*01	NA	IGHJ2-03*02
2-03	0.000705716	IGHV2-05*01	NA	IGHJ2-03*02
2-03	0.0	IGHV1-07*01	NA	IGHJ2-03*02
2-03	0.0	IGHV2-02*02	NA	IGHJ2-03*02
2-03	0.0	IGHV4-01*02	NA	IGHJ2-03*02
2-03	0.0	IGHV5-01*02	NA	IGHJ2-03*02
2-03	0.0	IGHV1-03*02	NA	IGHJ2-03*02
2-03	0.0	IGHV1-02*02	NA	IGHJ2-03*02
2-03	0.0	IGHV2-01*02	NA	IGHJ2-03*02
2-03	0.0	IGHV1-01*02	NA	IGHJ2-03*02
2-03	0.0	IGHV1-01*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-02*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV2-01*01	IGHD1-01*01	IGHJ1-01*01
2-03	0.0	IGHV1-03*01	IGHD1-01*01	IGHJ1-01*01
